# time head_pan l_gripper_l_finger_joint l_gripper_r_finger_joint left_e0 left_e1 left_s0 left_s1 left_w0 left_w1 left_w2 r_gripper_l_finger_joint r_gripper_r_finger_joint right_e0 right_e1 right_s0 right_s1 right_w0 right_w1 right_w2
426.242 0.511825763666 0.0208330045292 6.0718219984e-09 -1.81444254547 1.24506254583 -0.276473751158 -0.707684135766 -2.72042049729 -0.77261854328 2.39227649322 -1.52088951743e-07 -0.020833183353 1.5431615582 0.941194760479 -1.03896682335 -0.039156454614 0.296583512278 2.08012286015 -1.40846781864
426.322 0.531734434804 0.0208330142202 1.48248396744e-08 -1.81444257759 1.24506265358 -0.2764737203 -0.707684106382 -2.72042042533 -0.772618388289 2.39227653712 -9.71222611728e-08 -0.0208331172758 1.54316155869 0.941194761052 -1.03896682358 -0.0391564544016 0.296583509157 2.080122846 -1.40846782007
426.422 0.559578869623 0.0208344951271 1.80166622462e-06 -1.81444258244 1.24506229817 -0.276473841893 -0.707684141063 -2.72042036257 -0.772618901908 2.39227602472 -2.3797673216e-07 -0.0208332865968 1.54316155761 0.941194760206 -1.03896682323 -0.0391564548938 0.296583516429 2.08012288008 -1.40846781697
426.542 0.592358057002 0.020833000645 1.21208521672e-09 -1.81444246071 1.24506230395 -0.276473829942 -0.707684138362 -2.72042087898 -0.772618785377 2.39227674213 -6.11178129253e-09 -0.0208330078758 1.54316155775 0.941194762007 -1.03896682385 -0.0391564549765 0.296583505505 2.08012282033 -1.40846782442
426.622 0.616169201495 0.0208330014989 2.38352466105e-09 -1.81444247159 1.24506243251 -0.276473797712 -0.707684129004 -2.72042075555 -0.772618558483 2.39227668654 -3.6932011245e-09 -0.0208330049695 1.54316155744 0.941194761425 -1.03896682363 -0.0391564550853 0.296583506198 2.08012282136 -1.40846782386
426.722 0.642964562291 0.0208348684732 2.25146245581e-06 -1.81444268143 1.24506236207 -0.276473821784 -0.707684099669 -2.72042026339 -0.772618585111 2.39227586383 -9.88901351106e-09 -0.0208330124166 1.54316155815 0.94119476243 -1.03896682401 -0.0391564548247 0.29658350498 2.0801228204 -1.4084678246
426.842 0.671965489417 0.0208360091791 3.00981469939e-06 -1.81444260008 1.24506233799 -0.276473832843 -0.707684131877 -2.72042068286 -0.772618614062 2.39227629706 -9.71214387135e-08 -0.0208331172756 1.54316155871 0.941194761025 -1.03896682357 -0.0391564544108 0.296583509185 2.08012284606 -1.40846782008
427.122 0.721785750866 0.0208330070746 9.12037440779e-09 -1.81444251816 1.24506267242 -0.276473734994 -0.707684087748 -2.72042053024 -0.772618151694 2.39227654629 -3.7218237615e-07 -0.0208330011602 1.54316155715 0.941194760029 -1.03896682315 -0.0391564551042 0.29658351423 2.08012286462 -1.40846781796
427.222 0.734409249047 0.0208419094649 1.32007363545e-09 -1.81444254474 1.24506231672 -0.276473836805 -0.707684116767 -2.7204215317 -0.772618182608 2.39227712878 -2.14849043495e-09 -0.02083300311 1.5431615572 0.941194760778 -1.0389668234 -0.0391564551294 0.296583506901 2.0801228231 -1.408467823
427.322 0.744995360406 0.0208333230839 3.23631714026e-07 -1.81444243528 1.24506244972 -0.276473753915 -0.707684212217 -2.72042089795 -0.772618602272 2.39227684691 -6.11379265958e-09 -0.0208330078762 1.54316155775 0.94119476202 -1.03896682385 -0.0391564549761 0.296583505505 2.08012282036 -1.40846782441
